       t        x        y
     491 2.101011 -0.225972
     492 1.415460 -1.171292
     493 -0.139163 -1.744467
     494 -1.589338 -1.012630
     495 -2.126120 -0.089794
     496 -1.781463 0.802669
     497 -0.502806 1.677786
     498 1.145693 1.373801
     499 2.033602 0.411799
     500 2.013582 -0.453413
     501 1.081146 -1.415321
     502 -0.579916 -1.653940
     503 -1.817567 -0.757597
     504 -2.121053 0.129179
     505 -1.541401 1.058906
     506 -0.058308 1.749029
     507 1.468608 1.125398
     508 2.110547 0.186161
     509 1.865916 -0.693391
     510 0.688867 -1.614445
     511 -0.984890 -1.472552
     512 -1.981346 -0.514075
     513 -2.059070 0.352556
     514 -1.235207 1.311926
     515 0.389986 1.706555
     516 1.725785 0.868195
     517 2.130220 -0.033243
     518 1.654610 -0.946080
     519 0.255039 -1.731418
     520 -1.335210 -1.236660
     521 -2.084028 -0.283743
     522 -1.938169 0.586660
     523 -0.866850 1.535240
     524 0.813492 1.560907
     525 1.917394 0.618951
     526 2.093290 -0.253799
     527 1.377252 -1.202986
     528 -0.195227 -1.739111
     529 -1.621411 -0.980466
     530 -2.128570 -0.062468
     531 -1.755122 0.834226
     532 -0.448566 1.692525
     533 1.189434 1.344199
     534 2.046393 0.383094
     535 1.998520 -0.482595
     536 1.035142 -1.443367
     537 -0.632856 -1.635599
     538 -1.841448 -0.726485
     539 -2.116454 0.156650
     540 -1.506804 1.091054
     541 -0.001996 1.749999
     542 1.504313 1.093330
     543 2.116095 0.158599
     544 1.843103 -0.724288
     545 0.636585 -1.634246
     546 -1.031848 -1.445326
     547 -1.997417 -0.484671
     548 -2.047265 0.381067
     549 -1.192497 1.342081
     550 0.444705 1.693510
     551 1.753217 0.836469
     552 2.128711 -0.060533
     553 1.623645 -0.978188
     554 0.199193 -1.738664
     555 -1.374506 -1.205224
     556 -2.092709 -0.255776
     557 -1.918804 0.616806
     558 -0.817050 1.559247
     559 0.863346 1.536976
     560 1.936829 0.588789
     561 2.084673 -0.281757
     562 1.338028 -1.234441
     563 -0.251089 -1.731989
     564 -1.652450 -0.948353
     565 -2.130142 -0.035176
     566 -1.727763 0.865942
     567 -0.393877 1.705684
     568 1.232212 1.314079
     569 2.058264 0.354571
     570 1.982516 -0.511985
     571 0.988247 -1.470649
     572 -0.685183 -1.615892
     573 -1.864332 -0.695574
     574 -2.110969 0.184205
     575 -1.471172 1.123129
     576 0.054318 1.749157
     577 1.538984 1.061185
     578 2.120757 0.131123
     579 1.819292 -0.755386
     580 0.583687 -1.652687
     581 -1.077916 -1.417332
     582 -2.012546 -0.455474
     583 -2.034539 0.409759
     584 -1.148824 1.371722
     585 0.498978 1.678882
     586 1.779629 0.804899
     587 2.126323 -0.087856
     588 1.591645 -1.010349
     589 0.143142 -1.744146
     590 -1.412786 -1.173545
     591 -2.100493 -0.227940
     592 -1.898464 0.647170
     593 -0.766495 1.582148
     594 0.912414 1.512011
     595 1.955296 0.558846
     596 2.075153 -0.309858
     597 1.297796 -1.265600
     598 -0.306695 -1.723129
     599 -1.682457 -0.916321
     600 -2.130835 -0.007904
     601 -1.699381 0.897797
     602 -0.338791 1.717211
     603 1.274015 1.283506
     604 2.069219 0.326220
     605 1.965562 -0.541586
     606 0.940487 -1.497094
     607 -0.736855 -1.594889
     608 -1.886224 -0.664871
     609 -2.104596 0.211858
     610 -1.434510 1.155088
     611 0.110576 1.746507
     612 1.572620 1.029006
     613 2.124536 0.103717
     614 1.794477 -0.786676
     615 0.530218 -1.669699
     616 -1.123072 -1.388643
     617 -2.026738 -0.426479
     618 -2.020887 0.438641
     619 -1.104207 1.400780
     620 0.552756 1.662727
     621 1.805029 0.773503
     622 2.123055 -0.115227
     623 1.558609 -1.042532
     624 0.086943 -1.747840
     625 -1.450044 -1.141674
     626 -2.107383 -0.200223
     627 -1.877144 0.677749
     628 -0.715221 1.603869
     629 0.960663 1.486087
     630 1.972804 0.529119
     631 2.064726 -0.338115
     632 1.256566 -1.296406
     633 -0.361987 -1.712568
     634 -1.711434 -0.884393
     635 -2.130650 0.019364
     636 -1.669971 0.929772
     637 -0.283360 1.727062
     638 1.314826 1.252545
     639 2.079264 0.298030
     640 1.947652 -0.571404
     641 0.891890 -1.522624
     642 -0.787831 -1.572663
     643 -1.907131 -0.634382
     644 -2.097331 0.239623
     645 -1.396822 1.186885
     646 0.166720 1.742059
     647 1.605220 0.996828
     648 2.127433 0.076368
     649 1.768652 -0.818147
     650 0.476226 -1.685219
     651 -1.167295 -1.359331
     652 -2.040000 -0.397678
     653 -2.006302 0.467720
     654 -1.058664 1.429186
     655 0.605991 1.645107
     656 1.829421 0.742292
     657 2.118905 -0.142661
     658 1.524538 -1.074701
     659 0.030654 -1.749732
     660 -1.486273 -1.109660
     661 -2.113382 -0.172613
     662 -1.854836 0.708540
     663 -0.663269 1.624336
     664 1.008062 1.459281
     665 1.989358 0.499607
     666 2.053387 -0.366537
     667 1.214352 -1.326797
     668 -0.416913 -1.700349
     669 -1.739385 -0.852594
     670 -2.129588 0.046643
     671 -1.639531 0.961841
     672 -0.227640 1.735196
     673 1.354636 1.221254
     674 2.088404 0.269990
     675 1.928779 -0.601439
     676 0.842487 -1.547164
     677 -0.838074 -1.549288
     678 -1.927061 -0.604110
     679 -2.089170 0.267513
     680 -1.358114 1.218468
     681 0.222692 1.735832
     682 1.636785 0.964686
     683 2.129452 0.049061
     684 1.741812 -0.849784
     685 0.421759 -1.699188
     686 -1.210565 -1.329466
     687 -2.052338 -0.369063
     688 -1.990778 0.497003
     689 -1.012219 1.456867
     690 0.658635 1.626086
     691 1.852812 0.711278
     692 2.113871 -0.170172
     693 1.489433 -1.106819
     694 -0.025666 -1.749812
     695 -1.521470 -1.077549
     696 -2.118495 -0.145095
     697 -1.831533 0.739537
     698 -0.610678 1.643478
     699 1.054586 1.431669
     700 2.004965 0.470305
     701 2.041130 -0.395136
     702 1.171167 -1.356707
     703 -0.471420 -1.686520
     704 -1.766316 -0.820943
     705 -2.127648 0.073948
     706 -1.608058 0.993979
     707 -0.171686 1.741579
     708 1.393434 1.189692
     709 2.096644 0.242089
     710 1.908936 -0.631692
     711 0.792312 -1.570637
     712 -0.887546 -1.524839
     713 -1.946020 -0.574055
     714 -2.080110 0.295540
     715 -1.318393 1.249785
     716 0.278435 1.727852
     717 1.667316 0.932609
     718 2.130592 0.021780
     719 1.713951 -0.881571
     720 0.366868 -1.711552
     721 -1.252866 -1.299116
     722 -2.063758 -0.340626
     723 -1.974308 0.526496
     724 -0.964896 1.483747
     725 0.710646 1.605734
     726 1.875207 0.680468
     727 2.107950 -0.197774
     728 1.453294 -1.138843
     729 -0.081960 -1.748081
     730 -1.555633 -1.045383
     731 -2.122723 -0.117655
     732 -1.807230 0.770730
     733 -0.557495 1.661224
     734 1.100210 1.403324
     735 2.019633 0.441208
     736 2.027950 -0.423920
     737 1.127028 -1.386071
     738 -0.525456 -1.671135
     739 -1.792230 -0.789457
     740 -2.124828 0.101292
     741 -1.575549 1.026155
     742 -0.115555 1.746185
     743 1.431213 1.157912
     744 2.103988 0.214313
     745 1.888116 -0.662162
     746 0.741399 -1.592968
     747 -0.936215 -1.499393
     748 -1.964014 -0.544219
     749 -2.070145 0.323716
     750 -1.277670 1.280778
     751 0.333893 1.718152
     752 1.696817 0.900625
     753 2.130854 -0.005488
     754 1.685065 -0.913488
     755 0.311606 -1.722262
     756 -1.294183 -1.268344
     757 -2.074266 -0.312355
     758 -1.956886 0.556204
     759 -0.916721 1.509752
     760 0.761981 1.584121
     761 1.896615 0.649870
     762 2.101139 -0.225480
     763 1.416128 -1.170728
     764 -0.138169 -1.744546
     765 -1.588760 -1.013200
     766 -2.126069 -0.090279
     767 -1.781920 0.802111
     768 -0.503763 1.677511
     769 1.144910 1.374320
     770 2.033367 0.412310
     771 2.013841 -0.452897
     772 1.081953 -1.414818
     773 -0.578973 -1.654252
     774 -1.817134 -0.758150
     775 -2.121127 0.128692
     776 -1.542005 1.058336
     777 -0.059305 1.748995
     778 1.467966 1.125965
     779 2.110441 0.186650
     780 1.866311 -0.692846
     781 0.689787 -1.614083
     782 -0.984050 -1.473027
     783 -1.981053 -0.514598
     784 -2.059271 0.352053
     785 -1.235955 1.311388
     786 0.389013 1.706771
     787 1.725290 0.868758
     788 2.130238 -0.032760
     789 1.655150 -0.945512
     790 0.256026 -1.731273
