       t        x        y
     343 0.106724 0.994294
     344 0.904235 0.486389
     345 0.970966 -0.359172
     346 0.261508 -0.965403
     347 -0.672445 -0.751400
     348 -1.046129 0.043012
     349 -0.594816 0.810249
     350 0.355997 0.935200
     351 1.002546 0.276253
     352 0.852084 -0.562879
     353 0.007574 -0.999971
     354 -0.843471 -0.574238
     355 -1.006634 0.263468
     356 -0.370124 0.929820
     357 0.582478 0.818660
     358 1.045378 0.056121
     359 0.683756 -0.741897
     360 -0.246854 -0.969212
     361 -0.965431 -0.371653
     362 -0.911513 0.474448
     363 -0.121774 0.992567
     364 0.772923 0.657073
     365 1.031231 -0.165911
     366 0.474007 -0.882889
     367 -0.485310 -0.876961
     368 -1.033291 -0.154883
     369 -0.764426 0.666003
     370 0.134513 0.990926
     371 0.917542 0.464271
     372 0.960589 -0.382198
     373 0.234384 -0.972273
     374 -0.693234 -0.733735
     375 -1.044586 0.067231
     376 -0.571917 0.825670
     377 0.382038 0.925102
     378 1.009949 0.252602
     379 0.836033 -0.583801
     380 -0.020418 -0.999792
     381 -0.859252 -0.553180
     382 -0.998928 0.287067
     383 -0.343956 0.939604
     384 0.605177 0.802996
     385 1.046610 0.031893
     386 0.662742 -0.759353
     387 -0.273887 -0.962005
     388 -0.975512 -0.348553
     389 -0.897923 0.496459
     390 -0.093944 0.995581
     391 0.791043 0.637345
     392 1.026251 -0.189893
     393 0.449115 -0.895356
     394 -0.509675 -0.863601
     395 -1.037290 -0.130807
     396 -0.745512 0.685187
     397 0.162197 0.986788
     398 0.930227 0.441932
     399 0.949569 -0.405052
     400 0.207078 -0.978403
     401 -0.713522 -0.715628
     402 -1.042365 0.091423
     403 -0.548593 0.840546
     404 0.407786 0.914331
     405 1.016688 0.228846
     406 0.819400 -0.604416
     407 -0.048395 -0.998828
     408 -0.874440 -0.531840
     409 -0.990563 0.310545
     410 -0.317523 0.948695
     411 0.627431 0.786814
     412 1.047164 0.007653
     413 0.641245 -0.776339
     414 -0.300708 -0.954072
     415 -0.984944 -0.325299
     416 -0.883719 0.518228
     417 -0.066040 0.997818
     418 0.808604 0.617266
     419 1.020600 -0.213798
     420 0.423883 -0.907192
     421 -0.533657 -0.849650
